commit	val_bpb	memory_gb	status	description	sample_text
7ad22e5	1.124477	6.0	keep	baseline	The aim of this study was to evaluate the effect of a 2-year-old male with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a
7c25fc7	1.244893	6.0	discard	Increase WARMDOWN_RATIO to 0.75 for more aggressive LR cooldown	The aim of this study was to evaluate the effect of a 3-year-old man with a 3-year-old man with a history of a 3-year-old man with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history
6f59acd	0.000000	0.0	crash	Change linear LR warmdown to cosine annealing schedule [step 00068 (49.6%) | loss: 4.798691 | lrm: 1.00 | dt: 2365ms | tok/sec: 221,696 | mfu: 5.4% | epoch:]	
442a384	1.124458	6.0	keep	Increase weight decay on embeddings/value embeddings/unembedding from 0.001 to 0.002 (within proven 0.001-0.003 range)	The aim of this study was to investigate the effect of a 2-year-old male with a history of a 2-year-old male with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of
d0121d3	1.094881	6.0	keep	Increase logit softcap from 12 to 50 to allow sharper predictions	The aim of this study was to determine the effect of a single dose of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of 1,250 mg of
946704a	1.084946	6.0	keep	Remove z-loss regularization to allow sharper predictions after softcap increase	The aim of this study was to determine the effect of the 5'-triphosphate (5'-triphosphate) on the expression of the 5'-triphosphate (5'-triphosphate) and the 5'-triphosphate (5'-triphosphate) in the presence of the 5'-triphosphate (5'-triphosphate) and 5'-triphosphate (5'-triphosphate (5'-triphosphate) in the presence of
f977508	1.356417	7.0	discard	Add label smoothing with 0.1 to cross entropy loss to improve generalization	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
b47ae32	1.090980	5.8	discard	Tie value embeddings across all layers (shared parameters) to reduce capacity and improve generalization	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
885aeb1	1.095314	6.0	discard	Use full attention in all layers by setting WINDOW_PATTERN to L, removing sliding window constraints to improve long-range dependency learning	The aim of this study was to determine the effect of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the different concentrations of the
8a3a304	1.100428	6.0	discard	Reduce Muon weight decay from 0.2 to 0.1 for less aggressive regularization on matrix parameters	The aim of this study was to determine the effect of the use of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination of a combination
5384562	1.091948	6.0	discard	Effectively remove logit softcap by setting to large value (10000) to allow unconstrained sharp predictions	The aim of this study was to determine the effect of the 2,2,3,5,5-trisphosphate (2,3,5-trisphosphate) on the expression of the 2,3,5-trisphosphate (2,3,5-trisphosphate) and the 2,3,5-trisphosphate (2,3,5-trisphosphate) in the presence of 2,3,5-trisphosphate (2,3,5-tr
bc49461	1.144986	6.0	discard	Change RoPE base from 50000 to 10000 for better positional encoding at sequence length 2048	The aim of this study was to evaluate the effect of a 3-week-old male with a 3-week-old male with a 3-week-old male with a 3-week-old male with a 3-week-old female with a 3-week history of a 3-week-old male with a 3-week history of a 3-week-old male with a 3-week history of a 3-week-old male with a 3-week history of a 3-week-old male with a
e7092ba	1.194813	6.0	discard	Remove adaptive gradient clipping to allow unconstrained gradient updates and slightly improve training throughput	The aim of this study was to investigate the effect of a 2-year-old male patient with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of
bc3ba87	1.120073	6.0	discard	Change window pattern to SSSS for higher throughput (more short-window layers), allowing more training steps in the 5-minute budget	The aim of this study was to evaluate the effect of a 2- to 3-year-old male with a 2-year-old male with a history of a 2-year-old male with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a
5b277bd	1.105985	6.0	discard	Enable cudnn.benchmark for improved training throughput (more steps in 5 min)	The aim of this study was to determine the effect of the 2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
b9c0808	1.089486	6.0	discard	Delay LR warmdown to last 25% of training (WARMDOWN_RATIO=0.25) for longer high-LR training	The aim of this study was to evaluate the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
