commit	val_bpb	memory_gb	status	description	sample_text
a122c35	1.094587	6.0	keep	baseline	The aim of this study was to determine the effect of the 2,3-dimethylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthiopropylthi
34e20ad	0.969190	6.0	keep	Halve TOTAL_BATCH_SIZE to get 2x more optimizer steps within the 5-minute budget, which typically improves final val_bpb significantly	The aim of this study was to investigate the effects of the 2,3,4,5-tetrahydropyridine (2,3,4,5-tetrahydropyridine) on the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the regulation of the expression of the genes involved in the
931fc8e	0.975940	6.0	discard	Increase WARMDOWN_RATIO to 0.75 so the LR spends more time cooling down, which typically improves final val_bpb by allowing the model to converge more smoothly	The aim of this study was to investigate the effects of the 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different types of 2 different
4ed98bb	1.199902	11.4	discard	Increase sequence length to 4096 to capture longer context dependencies, using fewer but longer sequences per batch. TOTAL_BATCH_SIZE stays fixed so this halves grad_accum_steps but doubles context per sample.	The aim of this study was to evaluate the effect of the 3D printing on the effect of the 3D printing on the effect of the 3D printing on the effect of the 3D printing on the effect of the 3D printing on the effect of the 3D on the effect of the 3D on the 3D and 3D on the 3D and 3D DD. The
9168126	1.099939	6.0	discard	Add cosine LR schedule instead of linear warmdown - cosine decay is smoother and typically converges better than linear	The aim of this study was to determine the effect of the presence of a 2,3-dimethylammonium chloride (DC) on the expression of the 2,3-dimethylammonium chloride (DC) and the expression of the 2,3-dimethylammonium chloride (DC) and the 2,3-dimethylammonium chloride (DC) and 2,3-dimethylammonium chloride (DC) and
abfeb77	1.090444	6.0	discard	Add weight decay to value embeddings and increase embedding LR slightly, while also trying a higher WARMDOWN_RATIO of 0.6 combined with the current best batch size setup. Actually, implement gradient norm clipping with a fixed value of 1.0 instead of adaptive clipping that decays to 0.3 - the adaptive clipping may be too aggressive late in training, preventing the model from making useful updates during warmdown.	The aim of this study was to determine the effect of the 2,3-dimethylthiazolium bromide (TZD) on the expression of the 2,3-dimethylthiazolium bromide (TZD) in the rat liver. The 2,3-dimethylthiazolium bromide (TZD) was used to determine the effect of TZD on the expression of the 2,3-dimethylthiazolium brom
2be906f	1.060696	6.0	discard	Increase MATRIX_LR from 0.04 to 0.06 and EMBEDDING_LR from 0.6 to 0.8 to allow faster learning with the existing half-batch-size setup, which should improve convergence within the 5-minute budget	The aim of this study was to determine the effect of the 2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4-dihydro-2,4
da8ecd2	1.075709	6.0	discard	Remove the internal residual connection inside MLP (the Block already adds a residual, so MLP having its own residual creates a double-residual that wastes model capacity)	The aim of this study was to determine the effect of the 2,3-dimethylthiazolium bromide (DTX) on the growth of the human breast cancer cell line. The 2,3-dimethylthiazolium bromide (DTX) was used to investigate the effect of DTX on the growth of the breast cancer cell line. The 2,3-dimethylthiazolium bromide (DTX) was used to determine
3cc7896	1.131963	6.0	discard	Combine WARMDOWN_RATIO=0.75 with the current halved TOTAL_BATCH_SIZE=2**19 setup (near-miss used 0.75 but with original larger batch; this combines both winning ideas)	The aim of this study was to determine the effect of the 2,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
c26eaad	1.112724	6.0	discard	Set WARMDOWN_RATIO=0.70 (between tried values of 0.5 and 0.75) and slightly increase MATRIX_LR from 0.04 to 0.045 to get better convergence within the 5-minute budget	The aim of this study was to determine the effect of the 2,3-dihydroxy-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-3-oxo-
