commit	val_bpb	memory_gb	status	description	sample_text
a122c35	1.097410	6.0	keep	baseline	The aim of this study was to determine the effect of the presence of a 2,3-dimethylammonium chloride (TH) on the expression of the 2,3-dimethylammonium chloride (TH) and 2,3-dimethylammonium chloride (TH) in the presence of TH.The aim of this study was to determine the effect of the presence of a 2,3-dimethylammonium chloride (TH)
67a6cb7	1.108070	6.0	discard	Switch LR schedule to cosine annealing during cooldown (warndown) phase instead of linear	The aim of this study was to evaluate the effect of the 2D printing method on the expression of the 2D printing enzyme (2DE) and the 2D printing enzyme (2DE) on the expression of the 2D printing enzyme (2DE) and 2DE in the 2D printing enzyme (2DE) assay. The 2DE assay was used to determine the expression
8a1f506	1.098137	6.0	discard	Apply weight decay to value embeddings (param_group for value_embeds_params) for better regularization.	The aim of this study was to determine the effect of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination of the combination
2c4e450	0.969950	6.0	keep	Halve TOTAL_BATCH_SIZE for 2x more training steps (same GPU batch size, more frequent updates)	The aim of this study was to investigate the effects of the presence of a single dose of 100 mg/kg of the antihypertensive drug 2,3-dimethyl-2,3-diphenyl-1,3,4,5-tetrahydropyridine (DTP) on the development of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of the rat model of
4c20217	0.000000	0.0	crash	Increase WARMDOWN_RATIO to 0.75 for more aggressive LR cooldown. [^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
File "/home/pat/autoresearch/.venv/lib/python3.12/site-packages/torc]	
ad8ae59	0.000000	0.0	crash	Add dropout to MLP output for regularization [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
25f9b97	1.076006	6.0	discard	Increase weight_decay on Muon param groups for stronger regularization (WEIGHT_DECAY=0.2 -> 0.3).	The aim of this study was to determine the effect of the use of the antihypertensive agent, a new antihypertensive agent, on the incidence of coronary artery disease (CAD) in patients with CAD. The study was performed in 19 patients with CAD and 19 patients with CAD. The patients were divided into 1 groups: 1) the control group (n = 6) and 2) the control group (n = 6) group (n
1d5d898	0.000000	0.0	crash	Switch MLP activation from relu().square() to GELU (more standard for transformers). [GPU: NVIDIA GeForce RTX 5070 Ti (16303MB VRAM)
Config: DEPTH=8, DEVICE_BATCH_SIZE=16, VRAM_LIMIT=158]	
adbcaf9	1.119829	6.0	discard	Add z-loss penalty (1e-4 * logits.logsumexp(-1).square().mean()) to training loss for improved logit regularization.	The aim of this study was to evaluate the effect of a 2- to 3-year-old male with a history of a 2-year-old male with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history
354ec83	1.116309	6.0	discard	Increase EMA smoothing on train loss logging (from 0.9 to 0.98) for more stable loss reporting and possibly more stable training.	The aim of this study was to evaluate the effect of a 2- to 3-year-old male with a 2-year-old male with a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history of a history
c0f632e	1.118798	6.0	discard	Increase adaptive gradient clipping minimum from 0.3 to 0.5 for more stable training.	The aim of this study was to evaluate the effect of the 2D printing method on the growth of the human brain. The results showed that the 2D printing method was the most effective method for the detection of the brainstem brainstem. The method was used to evaluate the effect of the 2D printing method on the growth of the brainstem brainstem. The method was used to evaluate the effect of the 2D prin
439cf8a	1.148529	6.0	discard	Switch MLP activation from relu().square() to swish (x * sigmoid(x)) for smoother gradients.	The aim of this study was to investigate the effect of a single dose of 100 mg/kg box on the growth of the human brain and the effect of 100 mg/kg box on the growth of the brain and brain. The results of the study were compared with the effects of 100 mg/kg box on the growth of brain and brain and brain were compared with the effects of 100 mg/kg box. The effects of 100 mg/kg box
e02d0cc	1.325783	7.5	discard	Increase HEAD_DIM from 128 to 160 to allow more attention heads (potentially better modeling capacity for same VRAM).	The aim of this study was to investigate the effects of a novel and selective inhibitor of the anti-inflammatory drugs (AIB) on the effect of the anti-inflammatory drugs on the anti-inflammatory effects of anti-inflammatory drugs on the anti-inflammatory effects of anti-inflammatory drugs. The effects of anti-inflammatory drugs on the anti-inflammatory effects of anti-inflammatory drugs on the anti-inflammatory effects of anti-inflammatory drugs (AIB) and anti-inflammatory effects on the anti-inflammatory effects of anti-inflammatory drugs. The effects of anti
09e5557	1.270531	6.0	discard	Increase SCALAR_LR from 0.5 to 1.0 to allow per-layer scaling parameters to adapt faster.	The aim of this study was to investigate the effect of the two different types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of the two types of
001c225	1.095503	5.5	discard	Switch MLP hidden dimension from 4x to 3x model_dim for reduced overfitting and faster training.	The aim of this study was to determine the effect of the 2,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy-3,3-dimethoxy
7fe4032	1.042550	6.0	discard	Switch Adam epsilon for embedding and value_embeds param groups from 1e-6 to 1e-8 for potentially more stable/accurate updates.	The aim of this study was to investigate the effects of the 2,3-dimethyl-2,3-dimethyl-2,3,4,5,6,7,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
